"120","Appetizers","Apricot & Cucumber Soup","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD><P>6 oz Dried apricots <P>1 1/2 pt Vegetable stock <P>1 ea Orange, juiced &amp; rind grated <P>1 md Cucumber <P>1 md Onion, finely chopped <P>1 tb Vegetable oil <P>2 ts Curry powder <P>Salt &amp; pepper 2 tb Pumpkin seeds, to garnish <P>Soak the apricots in the stock with the grated orange rind for 2 to 3 hours. Add the orange juice &amp; simemr for 45 minutes. Cut 8 thin slices from the cucumber &amp; reserve for garnish. Peel &amp; roughly chop the remainder. Fry the onion in the oil over medium heat for 3 to 4 minutes, stirring once or twice. Stir in the curry powder &amp; chopped cucumber &amp; cook for 2 minutes. Puree the apricots with the stock &amp; the cucumber mixture. Return to the pan &amp; heat gently. Season with salt &amp; pepper. Serve the soup garnished with floating slices of cucumber topped with the pumpkin seeds. Black rye bread makes a good accompaniment. Pamela Westland, ""Fruit"" <BR><BR></P></TD></TR></TBODY></TABLE>"
"121","Appetizers","Apricot Raisin Spread Davis","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD><P>8 oz Cream cheese, cut into bits <P>-softened 1/2 c Apricot jam <P>1/2 c Golden raisins <P>-walnut halves, garnish In a food processor blend together the cream cheese and the jam until the mixture is smooth; add the raisins and pulse the motor until the mixture is just combined. Transfer the spread to a ramekin or small decorative bowl and chill it for 1 hour. Garnish the spread with the walnut halves and serve it with crackers. Makes about 1 1/2 cups. <BR><BR></P></TD></TR></TBODY></TABLE>"
"122","Appetizers","Arame-Stuffed Mushroom Caps","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD><P>1 c EDEN Arame <P>-- rinsed and soaked 18 lg Fresh mushrooms <P>1 ts EDEN Sesame Oil <P>1 md Onion <P>1/4 c EDEN Mirin <P>1 Lemon, juiced <P>2 tb EDEN Shoyu or Tamari <P>1 ts Ginger juice <P>- (grate ginger and - squeeze out juice) Fresh parsley, minced ---------------------------------TO GARNISH--------------------------------- Red pepper or lemon slice Soak Arame for 10 minutes. Rinse well and drain. Rinse mushrooms and remove stems. Place in baking dish. Dice stems and set aside. Place Arame with soaking water in small sauce pan. If necessary add more water to cover. Bring to boil and simmer for 15 minutes. Drain. Squeeze out liquid from Arame and mince. Heat oil in small pan and saute onion and mushroom stems for 3-5 minutes. Add Arame. Combine Mirin, Shoyu, lemon, and ginger juice. Pour half over Arame mixture and simmer until liquid evaporates. Stuff mushroom caps with Arame mixture; pour remaining marinade over mushroom caps. Cover and bake at 350 F for 20-25 minutes. Garnish. Be careful not to overcook; mushrooms will shrink. by Mary Estelle Prep Time: 40 minutes Yield: 6 Servings Sea vegetables ran be added to soups or salads, cooked alone or with other vegetables, and even brewed into teas. Their versatility in the kitchen is as wide as the ocean. When dried, the succulence and qualify of sea vegetables is not as apparent as when fresh, so it is important to choose a brand you can trust. Eden (TM) brand sea vegetables are the highest quality available, harvested from clean Northern waters. Copyright 1995 Eden Foods, Inc. <ELECTRONIC Mintzias Karen of: courtesy format><BR><BR></P></TD></TR></TBODY></TABLE>"
"123","Appetizers","ARMADILLO EGGS","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD colSpan=3><B>Ingredients</B></TD><!-- spanned cell --><!-- spanned cell --><TD></TD></TR><TR><TD class=ingredient>2</TD><TD class=ingredient>pound</TD><TD class=ingredient>monterey jack cheese </TD><TD></TD></TR><TR><TD class=ingredient>2</TD><TD class=ingredient>pound</TD><TD class=ingredient>sharp cheddar cheese </TD><TD></TD></TR><TR><TD class=ingredient>2</TD><TD class=ingredient>pound</TD><TD class=ingredient>hot pork sausage </TD><TD></TD></TR><TR><TD class=ingredient>1/2</TD><TD class=ingredient>cup</TD><TD class=ingredient>bisquick mix </TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient>each</TD><TD class=ingredient>egg </TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient>pk</TD><TD class=ingredient>pork flavor shake 'n bake </TD><TD></TD></TR><TR><TD class=ingredient>20</TD><TD class=ingredient>each</TD><TD class=ingredient>whole jalapeno peppers </TD><TD></TD></TR><TR><TD></TD><TD></TD><TD></TD><TD></TD></TR><TR><TD colSpan=4><BR><B>Directions:</B><BR><BR></TD><!-- spanned cell --><!-- spanned cell --><!-- spanned cell --></TR><TR><TD colSpan=4>Slice peppers in half lengthwise and scrape out all the seeds (wear gloves). Try to keep both halves near each other as you have to put them back together later. <BR><BR>Mix bisquick, raw sausage &amp; cheddar cheese. Stuff each pepper with Monterey Jack cheese and put the halves back together. Grab a handful of bisquick mixture and mold around pepper in shape of elongated egg. Use enough to cover pepper well. <BR><BR>Dip armadillo egg in beaten egg and roll in Shake 'n Bake. Bake on broiler pan (can use cookie sheet) at 350 degrees for 25 minutes or until crisp.<BR><BR></TD><!-- spanned cell --><!-- spanned cell --><!-- spanned cell --></TR></TBODY></TABLE>"
"124","Appetizers","Artichaud Dieppoise!","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD><P>1/2 tb Oil <P>2 tb Green Onions(Chopped) <P>1 oz Crabmeat <P>1 oz Cream (Heavy - 32% M.F.) <P>1/2 ts Italian Herbs <P>1 Artichoke Bottom (cooked) <P>1/4 c Mushrooms (Sliced) <P>1 oz White Wine <P>1 pn Salt &amp; White Pepper <P>3 tb Hollandaise-recipe to <P>-follow -----------------------------SAUCE HOLLANDAISE----------------------------- 1 Egg Yolk <P>2 oz Butter (Melted) <P>Cayenne Pepper to taste 1/2 ts White Wine <P>1/8 ts Lemon Juice <P>Heat oil in a fry pan. Add onions, artichoke and mushrooms and saute until softened. Add crab, wine and herbs, cook over medium heat until wine has reduced by 2/3. Add cream and cook until sauce thickens to sauce consistency. Season with salt and white pepper. Sauce Hollandaise Place egg yolk in a stainless steel bowl, add wine. Place bowl over pot of water, rolling at a gentle simmer. Whisk mixture constantly until it starts to thicken. Remove bowl from heat, and SLOWLY whisk in melted butter. Finish with lemon juice. Assembly: Place Artichoke bottom in center of plate. Fill with crab mixture. Spoon hollandaise sauce over top. Brown with broiler in oven, if desired. <BR><BR></P></TD></TR></TBODY></TABLE>"
"125","Appetizers","Artichoke Appetizer","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD colSpan=3><B>Ingredients</B></TD><!-- spanned cell --><!-- spanned cell --><TD></TD></TR><TR><TD class=ingredient>4</TD><TD class=ingredient>each</TD><TD class=ingredient>eggs, beaten</TD><TD></TD></TR><TR><TD class=ingredient>2</TD><TD class=ingredient>pound</TD><TD class=ingredient>cheddar cheese, grated</TD><TD></TD></TR><TR><TD class=ingredient>12</TD><TD class=ingredient>oz</TD><TD class=ingredient>marinated artichokes, jars, cut-up</TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient></TD><TD class=ingredient>salt, to taste</TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient></TD><TD class=ingredient>pepper, to taste</TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient></TD><TD class=ingredient>tabasco, dash to taste</TD><TD></TD></TR><TR><TD class=ingredient>3</TD><TD class=ingredient>each</TD><TD class=ingredient>green onions, chopped fine</TD><TD></TD></TR><TR><TD class=ingredient>6</TD><TD class=ingredient>each</TD><TD class=ingredient>soda crackers, crushed</TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient>each</TD><TD class=ingredient>clove garlic, crushed</TD><TD></TD></TR><TR><TD></TD><TD></TD><TD></TD><TD></TD></TR><TR><TD colSpan=4><BR><B>Directions:</B><BR><BR></TD><!-- spanned cell --><!-- spanned cell --><!-- spanned cell --></TR><TR><TD colSpan=4>Saute onions and garlic in artichoke oil; then drain. Mix all<BR>ingredients and spread in greased 8x8 inch pan. Bake at 325 for 30 min.<BR>Can be baked, frozen and re-heated. This recipe was a great success<BR>at a party Christmas Eve.<BR><BR></TD><!-- spanned cell --><!-- spanned cell --><!-- spanned cell --></TR></TBODY></TABLE>"
"126","Appetizers","Artichoke Bottoms with Bay Scallops","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD><P>3/4 lb Scallops, bay, washed <P>1 c Bread crumbs, fresh, fine <P>3 tb Parsley, fresh, minced <P>1/2 ts Tarragon, dried <P>1/4 c Celery, minced <P>2 Garlic, cloves, minced <P>28 oz Artichoke bottoms, drained <P>(2-14 oz cans) Oil, canola, for brushing On grill rack Mix scallops, bread crumbs, parsley, tarragon, celery and garlic in a bowl. Gently mound filling into artichoke bottoms. Prepare grill. When coals are hot, set artichokes on grill rack, brushed with oil, about 4 to 6 inches from heat source. Cover grill. Cook stuffed artichokes for about 3 minutes or until scallops are opaque. Using a long-handled spatula, transfer artichoke bottoms to serving dish. Serve hot. <BR><BR></P></TD></TR></TBODY></TABLE>"
"127","Appetizers","Artichoke Croustades","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD><P>18 sl Soft white bread; crusts <P>-removed 3 tb Unsalted butter; melted <P>6 oz Marinated artichoke hearts <P>-drained &amp; finely chopped 3 tb Mayonnaise <P>1 tb Scallion; finely chopped <P>-chop some of tops/garnish 1/4 c Parmesan cheese; grated <P>1 tb Parmesan cheese; grated <P>Roll each bread slice flat with a rolling pin and trim it to form a 2 1/2"" square. Brush both sides of the squares lightly with the butter and fit th squares into gem muffin tins, pressing the bread against the sides of the tins. Bake the croustades in the middle of a preheated 350 deg. oven 12-14 minutes, oruntil the edges are pale golden. These may be made 2 days in advance &amp; kept in an airtight container. In a bowl stir together the artich hearts, mayonnaise, 1 tb of the scallion, 1/4 c of the Parmesan, and salt &amp; pepper to taste. Divide the mixture by heaping teaspoons among the croustad and sprinkle the remaining Parmesan on top. Broil the croustades under a preheated broiler about 6"" from the heat, being careful not to let the croustade edges burn, for 1 minute, or until the filling is bubbling. Garni the croustades with the scallion green and arrange 3 of them on each of 6 small plates. From Best of Gourmet 1992. <BR><BR></P></TD></TR></TBODY></TABLE>"
"128","Appetizers","ARTICHOKE DIP","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD colSpan=3><B>Ingredients</B></TD><!-- spanned cell --><!-- spanned cell --><TD></TD></TR><TR><TD class=ingredient>14</TD><TD class=ingredient>oz</TD><TD class=ingredient>artichoke hearts, 1 cn, *</TD><TD></TD></TR><TR><TD class=ingredient>1/4</TD><TD class=ingredient>cup</TD><TD class=ingredient>parmesan cheese, grated</TD><TD></TD></TR><TR><TD class=ingredient>1/4</TD><TD class=ingredient>cup</TD><TD class=ingredient>romano cheese, grated</TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient>cup</TD><TD class=ingredient>mozzarella cheese, shredded</TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient>each</TD><TD class=ingredient>garlic clove, small, minced</TD><TD></TD></TR><TR><TD class=ingredient>1/2</TD><TD class=ingredient>cup</TD><TD class=ingredient>mayonnaise</TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient></TD><TD class=ingredient>paprika</TD><TD></TD></TR><TR><TD></TD><TD></TD><TD></TD><TD></TD></TR><TR><TD colSpan=4><BR><B>Directions:</B><BR><BR></TD><!-- spanned cell --><!-- spanned cell --><!-- spanned cell --></TR><TR><TD colSpan=4>* The artichoke hearts should not be marinated artichoke Hearts. Just<BR>the plain ones.<BR><BR>Rinse and rain the artichoke hearts, then remove and discard the fuzzy<BR>chokes. Chop the artichoke hearts. Mix all of the ingredients, blending<BR>well and place in a greased 1 1/2 quart casserole. <BR><BR>Dust the top of the<BR>mixture lightly with paprika. Bake at 325 degrees F. for 25 minutes and<BR>serve hot in a chafing dish.<BR><BR>Makes about 3 cups of dip.<BR>SUGGESTED DIPPERS: French Or italian Bread, Water Crackers, Snow Peas,<BR>carrots, Salami Slices, Seafood Chunks<BR><BR><BR><BR></TD><!-- spanned cell --><!-- spanned cell --><!-- spanned cell --></TR></TBODY></TABLE>"
"129","Appetizers","Artichoke Dip 1","<TABLE cellSpacing=2 cellPadding=3 border=0><TBODY><TR><TD colSpan=3><B>Ingredients</B></TD><!-- spanned cell --><!-- spanned cell --><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient>cup</TD><TD class=ingredient>parmesan cheese </TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient>cup</TD><TD class=ingredient>mayonnaise </TD><TD></TD></TR><TR><TD class=ingredient>1 1/2</TD><TD class=ingredient>cn</TD><TD class=ingredient>artichoke hearts </TD><TD></TD></TR><TR><TD class=ingredient>1</TD><TD class=ingredient></TD><TD class=ingredient>garlic powder </TD><TD></TD></TR><TR><TD></TD><TD></TD><TD></TD><TD></TD></TR><TR><TD colSpan=4><BR><B>Directions:</B><BR><BR></TD><!-- spanned cell --><!-- spanned cell --><!-- spanned cell --></TR><TR><TD colSpan=4>Combine equal amounts parmesan cheese and mayonnaise. Add garlic<BR>powder. Add artichoke hearts and combine with cheese mixture. May be<BR>served cold or heated 10 to 20 minutes in 350F oven or until cheese is<BR>melted (do not heat in microwave). Serve with chips or as a spread on<BR>french bread.<BR><BR><BR><BR></TD><!-- spanned cell --><!-- spanned cell --><!-- spanned cell --></TR></TBODY></TABLE>"
